cdid,COMMODITY,AREA,DIRECTION,BASIS,PRICE,SEASADJ,PERIOD
AJFB, Canadian dollar,UK,,BE,CP,NSA,
AJFD,Swiss franc,UK,,BE,CP,NSA,
AJFI, Swedish kroner,UK,,BE,CP,NSA,
AJFJ, Norwegian kroner,UK,,BE,CP,NSA,
AJFK, Danish kroner,UK,,BE,CP,NSA,
AJFO, Japanese yen,UK,,BE,CP,NSA,
AJFP, Australian Dollar,UK,,BE,CP,NSA,
AJFU, Hong Kong Dollar,UK,,BE,CP,NSA,
AJFV, New Zealand Dollar,UK,,BE,CP,NSA,
AJFW, South African Rand,UK,,BE,CP,NSA,
AUSS, US dollar,UK,,BE,CP,NSA,
BK67,"Monthly average, Effective exchange rate index, Sterling (Jan 2005=100)",UK,,BE,CP,NSA,
THAP,Exchange rates for euro monthly average - sterling euro,UK,,BE,CP,NSA,
BOQM,,,EX,BOP,CP,SA,
BPBN,,,EX,BOP,CP,SA,
BQAX,,,IM,BOP,CP,SA,
BQBH,,,IM,BOP,CP,SA,
BQHQ,,WW,IM,BOP,CP,SA,
BQHS,,W1,IM,BOP,CVM,SA,
CLAS,,EU,IM,BOP,CP,SA,
CLAT,,RW,IM,BOP,CP,SA,
CPLX,,,EX,,CP,SA,
CPLY,,,IM,,CP,SA,
CPLZ,,,BAL,,CP,SA,
IKBB,,,EX,,CP,SA,
IKBC,,,IM,,CP,SA,
IKBD,,,BAL,,CP,SA,
IKBH,,,EX,,CP,SA,
IKBI,,,IM,,CP,SA,
IKBJ,,,BAL,,CP,SA,
OFNN,,,,,CP,SA,
